name;unit;pixelW;pixelH;pixelZ;width;height;channels;frames;slices;nucleus_area;diameter;marge;totalThick;nucleusSlices;totalPlainNucleus;slicesLeft;totalNucNotCorr;totalMitoNotCorr;corrTotaleNuc;sumPxInt0;beyondTh16;sumPxInt16;beyondTh32;sumPxInt32
crop_2021_06_02_Luvieux_MitoSox_L7 - Mark_and_Find 001_Position005.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;659;132;15;1092520122;27222220;730644862;4740979;219672491
crop_2021_06_02_Luvieux_MitoSox_L7 - Mark_and_Find 002_Position004.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;477;30;10;609671338;13710246;326045669;1389663;53415211
crop_2021_06_02_Luvieux_MitoSox_L7 - Mark_and_Find 002_Position006.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;629;223;50;1096652163;24916133;704118207;4713490;249711787
crop_2021_06_02_Luvieux_MitoSox_L7 - Mark_and_Find 002_Position007.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;10;1100;3;1;2.964;10;1;0;187;42;0;228325491;4722329;113893267;542985;20977783
crop_2021_06_02_Luvieux_MitoSox_L8 - Mark_and_Find 001_Position001.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;364;224;53;278502768;4216661;95743805;292724;11245041
crop_2021_06_02_Luvieux_MitoSox_L8 - Mark_and_Find 001_Position002.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;543;368;16;691078886;15957289;403202454;2373536;97155207
crop_2021_06_02_Luvieux_MitoSox_L8 - Mark_and_Find 001_Position003.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;363;195;50;540720547;13236960;338851081;2223904;88254935
crop_2021_06_02_Luvieux_MitoSox_L8 - Mark_and_Find 001_Position005.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;10;1100;3;0;3.002;10;1;0;203;15;0;182849079;3146013;74144658;310717;12095068
crop_2021_06_02_Luvieux_MitoSox_L8 - Series001.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;10;1100;3;0;3.002;10;1;0;219;85;0;209665005;3466374;79514412;254528;10295295
crop_2021_06_02_Luvieux_MitoSox_L8 - Series002.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;367;97;30;501914683;10190758;248432161;1191734;49682832
crop_2021_06_02_Luvieux_MitoSox_L9 - Mark_and_Find 002_Position001.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;657;203;23;1967281687;55396033;1765871838;22183689;961262939
crop_2021_06_02_Luvieux_MitoSox_L9 - Mark_and_Find 002_Position002.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;695;85;82;889232111;20195678;568092380;4126055;201819041
crop_2021_06_02_Luvieux_MitoSox_L9 - Mark_and_Find 002_Position003.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;468;71;51;995839410;27363600;805969151;8612223;362048321
crop_2021_06_02_Luvieux_MitoSox_L9 - Mark_and_Find 002_Position004.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;447;138;17;502346278;10969373;270131777;1445997;57077827
crop_2021_06_02_Luvieux_MitoSox_L9 - Mark_and_Find 002_Position005.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;40;1100;3;0;12.008;10;4;0;899;171;59;1065225160;23733594;576832128;2858269;111912928
crop_2021_06_02_Luvieux_MitoSox_L9 - Mark_and_Find 002_Position006.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;633;115;99;444708668;6226323;139568067;375633;14583852
crop_2021_06_02_MaLu_MitoSox_L1 - Mark_and_Find 001_Position001.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;362;26;22;328349272;4165664;95091488;322108;13883774
crop_2021_06_02_MaLu_MitoSox_L1 - Mark_and_Find 001_Position002.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;261;161;13;259803695;2754518;62343558;206393;8611629
crop_2021_06_02_MaLu_MitoSox_L1 - Mark_and_Find 001_Position003.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;303;77;15;275587715;2926263;64258685;146362;6308660
crop_2021_06_02_MaLu_MitoSox_L1 - Mark_and_Find 001_Position004.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;297;72;48;323925171;3963344;91959894;335499;15371137
crop_2021_06_02_MaLu_MitoSox_L1 - Mark_and_Find 001_Position005.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;198;781;45;295232279;3397779;78898951;273841;13128553
crop_2021_06_02_MaLu_MitoSox_L1 - Mark_and_Find 001_Position006.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;358;31;17;292036834;3222942;76083308;313102;15070309
crop_2021_06_02_MaLu_MitoSox_L1 - Mark_and_Find 002_Position007.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;320;926;17;377871916;4345902;98886439;340314;14008759
crop_2021_06_02_MaLu_MitoSox_L1 - Mark_and_Find 002_Position008.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;204;329;11;231717268;2052129;47663823;173258;8592816
crop_2021_06_02_MaLu_MitoSox_L10 - Mark_and_Find 001_Position001.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;290;419;21;590025286;9322100;208382811;536924;20488427
crop_2021_06_02_MaLu_MitoSox_L10 - Mark_and_Find 001_Position002.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;303;345;11;521840696;6881944;152770152;366955;15189385
crop_2021_06_02_MaLu_MitoSox_L10 - Mark_and_Find 001_Position003.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;204;705;19;492225368;6166732;135095905;294132;11277118
crop_2021_06_02_MaLu_MitoSox_L10 - Mark_and_Find 001_Position004.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;243;1133;31;459389986;5279753;116800363;294007;12225084
crop_2021_06_02_MaLu_MitoSox_L10 - Mark_and_Find 001_Position005.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;282;716;15;517500135;7040084;155819270;364531;14309248
crop_2021_06_02_MaLu_MitoSox_L10 - Mark_and_Find 001_Position006.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;196;231;35;460246030;7680397;174494861;452445;19873567
crop_2021_06_02_MaLu_MitoSox_L10 - Mark_and_Find 001_Position007.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;425;113;38;600435168;9278814;207644694;539086;21129825
crop_2021_06_02_MaLu_MitoSox_L10 - Mark_and_Find 001_Position008.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;396;111;13;676023233;12408049;284653054;900064;35628317
crop_2021_06_02_MaLu_MitoSox_L2 - Mark_and_Find 001_Position001.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;330;163;3;343250096;2688807;59269414;147538;7028158
crop_2021_06_02_MaLu_MitoSox_L2 - Mark_and_Find 001_Position002.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;210;277;4;380695485;6037144;141584466;536392;23130058
crop_2021_06_02_MaLu_MitoSox_L2 - Mark_and_Find 001_Position003.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;192;376;18;407937413;6070943;137673316;392141;17035361
crop_2021_06_02_MaLu_MitoSox_L2 - Mark_and_Find 001_Position004.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;370;497;24;414510698;4631610;101603369;213556;9289303
crop_2021_06_02_MaLu_MitoSox_L2 - Mark_and_Find 001_Position005.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;242;875;6;379525522;4262848;96166223;280242;12586711
crop_2021_06_02_MaLu_MitoSox_L2 - Mark_and_Find 001_Position006.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;199;289;4;349141588;4812981;107081438;268727;10737469
crop_2021_06_02_MaLu_MitoSox_L2 - Mark_and_Find 001_Position007.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;263;116;5;328909926;3887014;85762605;202264;8618408
crop_2021_06_02_MaLu_MitoSox_L3 - Mark_and_Find 001_Position001.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;411;385;24;1437391223;39849747;1105278222;9053243;390124216
crop_2021_06_02_MaLu_MitoSox_L3 - Mark_and_Find 001_Position002.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;40;1100;3;1;11.856;10;4;0;361;900;85;1597574937;40386669;1136346972;9343039;422265998
crop_2021_06_02_MaLu_MitoSox_L3 - Mark_and_Find 001_Position003.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;353;832;72;1349705797;35150414;975660215;6482972;320119166
crop_2021_06_02_MaLu_MitoSox_L3 - Mark_and_Find 001_Position004.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;40;1100;3;0;12.008;10;4;0;464;1200;45;1451523596;34373982;910318669;5248447;256930988
crop_2021_06_02_MaLu_MitoSox_L3 - Mark_and_Find 001_Position005.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;295;1287;37;1088557293;26685401;664228154;3330356;141913817
crop_2021_06_02_MaLu_MitoSox_L3 - Mark_and_Find 001_Position006.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;40;1100;3;0;12.008;10;4;0;497;1004;55;1814956190;43472139;1353561459;11186559;610665062
crop_2021_06_02_MaLu_MitoSox_L3 - Mark_and_Find 001_Position007.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;502;135;79;922236798;20550831;509088135;2615550;111194460
crop_2021_06_02_MaLu_MitoSox_L3 - Mark_and_Find 001_Position008.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;370;865;30;902702551;19402227;482477942;2319047;106197227
crop_2021_06_02_MaLu_MitoSox_L4 - Mark_and_Find 001_Position001.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;559;61;53;918551483;19288885;483062569;2345772;111233028
crop_2021_06_02_MaLu_MitoSox_L4 - Mark_and_Find 001_Position002.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;346;348;58;519017757;7477690;175267317;551584;27923690
crop_2021_06_02_MaLu_MitoSox_L4 - Mark_and_Find 001_Position003.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;519;81;26;769836640;13749313;348362759;1422980;81797732
crop_2021_06_02_MaLu_MitoSox_L4 - Mark_and_Find 001_Position004.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;472;45;12;776894980;14499726;360089802;1734502;82306393
crop_2021_06_02_MaLu_MitoSox_L4 - Mark_and_Find 001_Position005.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;529;84;45;969638058;20935938;532412483;2544933;127314342
crop_2021_06_02_MaLu_MitoSox_L4 - Mark_and_Find 001_Position006.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;481;54;56;743812612;12778644;317946481;1321001;71301162
crop_2021_06_02_MaLu_MitoSox_L4 - Mark_and_Find 001_Position007.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;345;445;17;329879941;2762338;60969018;157620;7058465
crop_2021_06_02_MaLu_MitoSox_L5 - Mark_and_Find 002_Position001.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;207;565;16;568942808;11649814;366281976;3507702;181156459
crop_2021_06_02_MaLu_MitoSox_L5 - Mark_and_Find 002_Position002.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;157;1263;44;492923236;9122629;233832511;1333699;63520688
crop_2021_06_02_MaLu_MitoSox_L5 - Mark_and_Find 002_Position003.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;316;820;64;784514707;14880450;375544424;1942933;92882254
crop_2021_06_02_MaLu_MitoSox_L5 - Series004.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;40;1100;3;0;12.008;10;4;0;393;824;23;857932863;15240481;383658444;2164258;97245774
crop_2021_06_02_MaLu_MitoSox_L5 - Series005.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;40;1100;3;0;12.008;10;4;0;406;879;25;799071313;14079638;378488024;2754470;127738983
crop_2021_06_02_MaLu_MitoSox_L5 - Series006.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;40;1100;3;0;12.008;10;4;0;547;240;26;937431348;17086816;482934678;3981214;192214490
crop_2021_06_02_MaLu_MitoSox_L5 - Series007.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;384;570;18;927726742;19701926;561672475;4540965;220259320
crop_2021_06_02_MaLu_MitoSox_L5 - Series008.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;40;1100;3;0;12.008;10;4;0;377;1603;28;1101085126;22141704;540588920;2603477;112131785
crop_2021_06_02_MaLu_MitoSox_L6 - Mark_and_Find 001_Position001.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;231;244;35;560402058;11934772;297934369;1615734;69286856
crop_2021_06_02_MaLu_MitoSox_L6 - Mark_and_Find 001_Position002.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;262;882;55;500554940;7329609;172731268;649398;29474298
crop_2021_06_02_MaLu_MitoSox_L6 - Mark_and_Find 001_Position003.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;243;221;11;559220412;11672841;292916100;1494036;68474749
crop_2021_06_02_MaLu_MitoSox_L6 - Mark_and_Find 001_Position004.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;331;338;16;658111657;11932591;296781119;1330148;65349245
crop_2021_06_02_MaLu_MitoSox_L6 - Mark_and_Find 001_Position005.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;203;484;49;457411022;8892893;221299415;1063366;49190811
crop_2021_06_02_MaLu_MitoSox_L6 - Mark_and_Find 001_Position006.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;232;209;15;524355293;10611500;277078748;1507249;75874324
crop_2021_06_02_MaLu_MitoSox_L6 - Mark_and_Find 001_Position007.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;40;1100;3;0;12.008;10;4;0;273;1430;22;655250976;9736464;225834178;792933;33857492
crop_2021_06_02_MaLu_MitoSox_L7 - Mark_and_Find 001_Position001.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;406;97;15;1202689125;31418451;934095365;9523635;419602530
crop_2021_06_02_MaLu_MitoSox_L7 - Mark_and_Find 001_Position002.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;276;48;2;719934175;18239505;474751652;3256265;133297396
crop_2021_06_02_MaLu_MitoSox_L7 - Mark_and_Find 001_Position006.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;256;107;4;1102877482;31729995;927447025;9588607;401382435
crop_2021_06_02_MaLu_MitoSox_L7 - Series001.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;270;45;4;1378243679;38484425;1257344977;16456960;720782764
crop_2021_06_02_MaLu_MitoSox_L7 - Series002.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;283;34;10;771138815;19983131;543540430;4275508;181724832
crop_2021_06_02_MaLu_MitoSox_L7 - Series003.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;10;1100;3;0;3.002;10;1;0;127;9;0;422810465;11159635;301350975;2126466;94661051
crop_2021_06_02_MaLu_MitoSox_L8 - Series001.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;261;855;16;533568205;7936627;189004727;672744;33590353
crop_2021_06_02_MaLu_MitoSox_L8 - Series002.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;40;1100;3;0;12.008;10;4;0;401;917;24;910096229;16878810;405386552;1710769;74548480
crop_2021_06_02_MaLu_MitoSox_L8 - Series003.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;372;210;20;1076278340;27503583;700669021;4439610;176605133
crop_2021_06_02_MaLu_MitoSox_L8 - Series004.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;151;701;9;159469588;1291379;29701437;108461;4973191
crop_2021_06_02_MaLu_MitoSox_L8 - Series005.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;239;1108;11;802336086;17470965;433194020;2409395;96705741
crop_2021_06_02_MaLu_MitoSox_L9 - Mark_and_Find 002_Position001.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;278;59;23;345250962;4655968;105557923;332020;13817676
crop_2021_06_02_MaLu_MitoSox_L9 - Mark_and_Find 002_Position002.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;332;659;49;803349406;16732738;407119589;1906699;80053593
crop_2021_06_02_MaLu_MitoSox_L9 - Mark_and_Find 002_Position003.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;269;1171;65;458406588;5527053;123966445;351958;14795092
crop_2021_06_02_MaLu_MitoSox_L9 - Mark_and_Find 002_Position004.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;148;440;29;550225624;11446682;281416816;1355838;58685109
crop_2021_06_02_MaLu_MitoSox_L9 - Mark_and_Find 002_Position006.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;266;133;33;580294018;12770927;316638047;1748236;71519473
crop_2021_06_02_MaLu_MitoSox_L9 - Mark_and_Find 002_Position007.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;301;1026;28;875157761;20835558;567587656;4214506;188834000
crop_2021_06_02_MaLu_MitoSox_L9 - Mark_and_Find 002_Position008.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;436;115;8;696556852;13396338;332085522;1695701;75417918
crop_2022_06_13_LuJeuneR_MitoSox_L1 - Mark_and_Find 001_Position001.tif;microns;0.08016;0.08016;0.2964;1152;1152;2;1;20;1100;3;1;5.928;10;2;0;273;18;51;532984514;15011261;430475213;3938773;169391138
crop_2022_06_13_LuJeuneR_MitoSox_L1 - Mark_and_Find 001_Position002.tif;microns;0.08016;0.08016;0.2964;1152;1152;2;1;20;1100;3;1;5.928;10;2;0;283;30;35;456923280;12525584;316937739;1783155;73602132
crop_2022_06_13_LuJeuneR_MitoSox_L1 - Mark_and_Find 001_Position003.tif;microns;0.08016;0.08016;0.2964;1152;1152;2;1;20;1100;3;1;5.928;10;2;0;179;158;43;368712394;9446139;276320093;2804101;119876676
crop_2022_06_13_LuJeuneR_MitoSox_L1 - Mark_and_Find 001_Position005.tif;microns;0.08016;0.08016;0.3002;1152;1152;2;1;20;1100;3;0;6.004;10;2;0;326;13;16;740447758;20493606;676085284;8492477;383235686
crop_2022_06_13_LuJeuneR_MitoSox_L1 - Mark_and_Find 001_Position006.tif;microns;0.08016;0.08016;0.2964;1152;1152;2;1;20;1100;3;1;5.928;10;2;0;312;51;30;700188442;18700096;627854467;7802497;363027493
crop_2022_06_13_LuJeuneR_MitoSox_L1 - Mark_and_Find 001_Position007.tif;microns;0.08016;0.08016;0.3002;1152;1152;2;1;20;1100;3;0;6.004;10;2;0;217;74;16;486228710;13861630;378412647;3111994;126428555
crop_2022_06_13_LuJeuneR_MitoSox_L1 - Mark_and_Find 001_Position008.tif;microns;0.08016;0.08016;0.3002;1152;1152;2;1;20;1100;3;0;6.004;10;2;0;258;11;20;461267553;12731543;357884308;2975645;129229506
crop_2022_06_13_LuJeuneR_MitoSox_L1 - Mark_and_Find 001_Position009.tif;microns;0.08016;0.08016;0.3002;1152;1152;2;1;30;1100;3;0;9.006;10;3;0;428;84;69;390979189;7965637;204556227;1192544;52964842
crop_2022_06_13_LuJeuneR_MitoSox_L1 - Mark_and_Find 001_Position010.tif;microns;0.08016;0.08016;0.3002;1152;1152;2;1;30;1100;3;0;9.006;10;3;0;384;100;36;690726391;18598009;502408015;3728453;159309049
crop_2022_06_13_LuJeuneR_MitoSox_L1 - Mark_and_Find 001_Position011.tif;microns;0.08016;0.08016;0.3002;1152;1152;2;1;30;1100;3;0;9.006;10;3;0;440;80;26;715437538;20117343;524527625;3709371;146226968
crop_2022_06_13_LuJeuneR_MitoSox_L1 - Mark_and_Find 001_Position012.tif;microns;0.08016;0.08016;0.2964;1152;1152;2;1;30;1100;3;1;8.892;10;3;0;402;81;45;763072557;21255704;629336150;6349179;273068892
crop_2022_06_13_LuJeuneR_MitoSox_L10 - Mark_and_Find 001_Position001.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;419;95;42;436689753;7440796;172306419;612355;24781625
crop_2022_06_13_LuJeuneR_MitoSox_L10 - Mark_and_Find 001_Position002.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;575;112;37;810740169;17215231;406171760;1643136;63534756
crop_2022_06_13_LuJeuneR_MitoSox_L10 - Mark_and_Find 001_Position003.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;595;209;4;760102824;15417557;362460708;1449727;55728245
crop_2022_06_13_LuJeuneR_MitoSox_L10 - Mark_and_Find 001_Position004.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;637;101;14;858209871;18323024;433478779;1788851;69341227
crop_2022_06_13_LuJeuneR_MitoSox_L10 - Mark_and_Find 001_Position005.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;485;661;34;868587073;18468612;438670332;1793831;72237427
crop_2022_06_13_LuJeuneR_MitoSox_L10 - Mark_and_Find 001_Position006.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;641;80;26;815971983;16970407;401649313;1675420;64956834
crop_2022_06_13_LuJeuneR_MitoSox_L10 - Mark_and_Find 001_Position007.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;635;135;35;995561818;23589316;601505470;3700364;153869666
crop_2022_06_13_LuJeuneR_MitoSox_L10 - Mark_and_Find 001_Position008.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;427;917;40;494533852;7101712;162299904;532719;21229938
crop_2022_06_13_LuJeuneR_MitoSox_L1l2 - Mark_and_Find 001_Position002.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;10;1100;3;0;3.002;10;1;0;97;427;0;207025423;3747087;92149407;479132;20010508
crop_2022_06_13_LuJeuneR_MitoSox_L1l2 - Mark_and_Find 001_Position003.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;527;346;89;1040703736;25458350;677420853;5293355;215948451
crop_2022_06_13_LuJeuneR_MitoSox_L1l2 - Mark_and_Find 001_Position004.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;300;333;65;430569157;8168717;190692229;720791;27618099
crop_2022_06_13_LuJeuneR_MitoSox_L1l2 - Mark_and_Find 001_Position005.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;423;260;79;1312887887;24292515;966920146;6109839;556775553
crop_2022_06_13_LuJeuneR_MitoSox_L2 - Mark_and_Find 001_Position002.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;482;428;30;432652458;4497553;100444841;229520;11505927
crop_2022_06_13_LuJeuneR_MitoSox_L2 - Mark_and_Find 001_Position003.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;461;489;76;488819428;6033983;133253954;310033;12812433
crop_2022_06_13_LuJeuneR_MitoSox_L2 - Mark_and_Find 001_Position004.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;632;135;27;781736938;16039103;385031926;1804000;69964722
crop_2022_06_13_LuJeuneR_MitoSox_L2 - Mark_and_Find 001_Position005.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;456;338;34;620975919;9680518;218300551;598841;24147896
crop_2022_06_13_LuJeuneR_MitoSox_L2 - Mark_and_Find 001_Position006.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;40;1100;3;1;11.856;10;4;0;651;633;96;787063492;13501881;311367124;1092209;41823859
crop_2022_06_13_LuJeuneR_MitoSox_L2 - Mark_and_Find 001_Position007.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;534;169;35;658303584;10900046;271004394;1416809;66508735
crop_2022_06_13_LuJeuneR_MitoSox_L2 - Mark_and_Find 001_Position008.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;580;155;81;725650669;12140048;296684363;966007;56881410
crop_2022_06_13_LuJeuneR_MitoSox_L2l2 - Mark_and_Find 001_Position001.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;10;1100;3;1;2.964;10;1;0;205;54;0;1045790230;22794940;1027234976;16847380;874619975
crop_2022_06_13_LuJeuneR_MitoSox_L2l2 - Mark_and_Find 001_Position002.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;645;97;8;2.2112E9;55383436;2032562529;28839579;1383831532
