name;unit;pixelW;pixelH;pixelZ;width;height;channels;frames;slices;nucleus_area;diameter;marge;totalThick;nucleusSlices;totalPlainNucleus;slicesLeft;totalNucNotCorr;totalMitoNotCorr;corrTotaleNuc;sumPxInt0;beyondTh16;sumPxInt16;beyondTh32;sumPxInt32
crop_2021_06_02_Lujeune_MitoSox_L4 - Mark_and_Find 001_Position002.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;402;114;30;680268875;16059060;404376202;2159251;93541365
crop_2021_06_02_Lujeune_MitoSox_L4 - Mark_and_Find 001_Position003.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;10;1100;3;0;3.002;10;1;0;175;99;0;352284745;8734339;215907874;1177650;46003947
crop_2021_06_02_Lujeune_MitoSox_L4 - Mark_and_Find 001_Position004.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;10;1100;3;0;3.002;10;1;0;178;122;0;163997779;2440432;56717613;202715;8557087
crop_2021_06_02_Lujeune_MitoSox_L4 - Mark_and_Find 001_Position005.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;10;1100;3;0;3.002;10;1;0;177;63;0;165115586;2295169;51106190;130606;4930176
crop_2021_06_02_Lujeune_MitoSox_L4 - Mark_and_Find 001_Position006.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;10;1100;3;1;2.964;10;1;0;122;405;0;245510772;4665108;111271140;449432;19371456
crop_2021_06_02_Lujeune_MitoSox_L4 - Mark_and_Find 001_Position007.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;416;91;21;917750035;25478962;692268969;5737908;233982726
crop_2021_06_02_Lujeune_MitoSox_L4 - Mark_and_Find 001_Position008.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;615;190;9;1285774976;32377694;922934142;7410719;351295864
crop_2021_06_02_Lujeune_MitoSox_L4 - Mark_and_Find 001_Position009.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;466;477;9;1446710234;37237075;1109224265;9344905;464105760
crop_2021_06_02_LuJeune_MitoSox_L5 - Mark_and_Find 001_Position003.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;558;253;44;624103396;10668707;284432119;1771083;91095803
crop_2021_06_02_LuJeune_MitoSox_L5 - Mark_and_Find 001_Position004.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;629;107;27;587389619;8506309;199846095;652282;33187486
crop_2021_06_02_LuJeune_MitoSox_L5 - Mark_and_Find 001_Position005.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;623;121;11;730063372;13468850;324247151;1257122;59137978
crop_2021_06_02_LuJeune_MitoSox_L5 - Mark_and_Find 001_Position006.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;40;1100;3;1;11.856;10;4;0;752;438;102;953464519;17890060;416113871;1462706;59886455
